Overall Position,Gender Position,Category Position,Category,Race No,Country ,Official Time,Net Time,10km Time,Half Way Time,30km Time
6283,5337,6283,MR1,A6435,China,5:45:38,5:34:45,1:23:37,2:43:05,3:55:45
6284,5338,6284,MR1,A4940,Hong Kong SAR,5:45:38,5:40:58,1:19:27,2:46:48,4:00:59
6285,5339,6285,MR1,A0839,China,5:45:39,5:39:22,1:19:44,2:44:34,4:02:51
6286,947,6286,MR1,A0820,Taiwan,5:45:40,5:42:44,1:12:38,2:38:05,3:53:28
6287,5340,6287,MR1,A0223,Hong Kong SAR,5:45:42,5:42:16,1:18:39,2:40:38,3:54:47
6288,5341,6288,MR1,A4982,Hong Kong SAR,5:45:44,5:41:03,1:17:19,2:37:25,3:48:09
6289,5342,6289,MR1,A5245,Hong Kong SAR,5:45:45,5:40:43,1:22:00,2:45:24,3:56:16
6290,5343,6290,MR1,A5371,Hong Kong SAR,5:45:46,5:42:32,1:11:01,2:28:43,3:45:52
6291,948,6291,MR1,A3733,China,5:45:46,5:44:16,1:14:57,2:36:41,3:50:39
6292,5344,6292,MR1,A3491,Hong Kong SAR,5:45:47,5:36:57,,2:35:12,3:47:45
6293,5345,6293,MR1,A6263,China,5:45:49,5:45:19,1:21:11,2:49:29,3:59:26
6294,5346,6294,MR1,A3101,Japan,5:45:50,5:45:07,1:19:12,2:41:16,3:52:32
6295,5347,6295,MR1,A8859,Japan,5:45:51,5:43:40,1:13:15,2:33:16,3:48:59
6296,949,6296,MR1,A2827,Singapore,5:45:51,5:45:35,1:16:50,2:40:19,3:55:27
6297,5348,6297,MR1,A4334,Hong Kong SAR,5:45:51,5:40:06,1:22:56,2:44:40,3:54:48
6298,5349,6298,MR1,A4439,Hong Kong SAR,5:45:54,5:45:37,1:17:53,2:39:20,3:49:19
6299,950,6299,MR1,A5062,Hong Kong SAR,5:45:55,5:45:22,1:08:43,2:30:42,3:50:27
6300,5350,6300,MR1,A9021,China,5:45:56,5:41:22,1:16:46,2:38:33,3:51:08
6301,5351,6301,MR1,A6964,Hong Kong SAR,5:45:57,5:45:40,1:17:52,2:39:21,3:49:18
6302,5352,6302,MR1,A1090,Hong Kong SAR,5:45:57,5:42:26,1:19:46,2:45:22,3:59:14
6303,951,6303,MR1,A8399,Hong Kong SAR,5:45:57,5:44:45,1:19:30,2:44:48,3:57:21
6304,5353,6304,MR1,A2493,Hong Kong SAR,5:45:59,5:42:06,1:17:55,2:46:06,4:00:45
6305,5354,6305,MR1,A0724,Hong Kong SAR,5:45:59,5:44:17,1:15:57,2:41:09,3:53:41
6306,5355,6306,MR1,A6885,China,5:45:59,5:42:16,1:25:32,2:40:38,3:47:20
6307,5356,6307,MR1,A0052,Hong Kong SAR,5:45:59,5:40:35,1:17:04,2:39:57,3:56:38
6308,952,6308,MR1,A4147,Hong Kong SAR,5:46:01,5:44:27,1:09:46,2:36:49,3:54:06
6309,5357,6309,MR1,A2589,Hong Kong SAR,5:46:01,5:40:12,1:17:36,2:31:44,3:45:27
6310,5358,6310,MR1,A7132,Japan,5:46:05,5:43:35,1:09:46,2:29:16,3:56:29
6311,5359,6311,MR1,A5844,China,5:46:07,5:44:05,1:10:29,2:23:22,3:40:46
6312,953,6312,MR1,A8983,Japan,5:46:07,5:42:27,1:17:18,2:37:37,3:49:45
6313,5360,6313,MR1,A4080,Hong Kong SAR,5:46:07,5:25:58,1:31:32,2:58:10,4:08:54
6314,5361,6314,MR1,A8765,Japan,5:46:07,5:38:17,1:19:28,2:40:41,3:50:08
6315,954,6315,MR1,A4998,Hong Kong SAR,5:46:07,5:41:53,1:18:29,2:46:52,3:56:05
6316,5362,6316,MR1,A0293,Hong Kong SAR,5:46:10,5:43:04,1:13:58,2:38:46,3:54:00
6317,5363,6317,MR1,A8100,Hong Kong SAR,5:46:12,5:42:55,1:11:50,2:36:33,3:56:40
6318,5364,6318,MR1,A1634,Hong Kong SAR,5:46:15,5:42:52,1:18:43,2:34:00,3:47:54
6319,5365,6319,MR1,A7478,Hong Kong SAR,5:46:18,5:40:35,1:20:40,2:37:13,3:45:03
6320,955,6320,MR1,A4229,Hong Kong SAR,5:46:18,5:40:36,1:20:40,2:37:13,3:45:04
6321,5366,6321,MR1,A1401,Hong Kong SAR,5:46:20,5:41:38,1:14:47,2:39:13,3:56:40
6322,956,6322,MR1,A2914,Hong Kong SAR,5:46:20,5:43:49,1:18:14,2:45:48,3:59:53
6323,957,6323,MR1,A8923,China,5:46:20,5:44:55,1:20:00,2:51:45,4:05:53
6324,5367,6324,MR1,A3603,Hong Kong SAR,5:46:21,5:46:07,1:05:22,2:25:03,3:49:50
6325,5368,6325,MR1,A2753,Hong Kong SAR,5:46:21,5:42:50,1:05:13,2:23:29,3:42:15
6326,5369,6326,MR1,A8128,Hong Kong SAR,5:46:23,5:44:06,1:15:49,2:41:49,3:50:26
6327,5370,6327,MR1,A2308,Thailand,5:46:23,5:45:51,0:58:40,2:03:12,3:44:08
6328,958,6328,MR1,A5277,Hong Kong SAR,5:46:24,5:41:44,1:21:39,2:47:27,3:59:25
6329,5371,6329,MR1,A0059,Hong Kong SAR,5:46:26,5:41:27,1:22:45,2:46:40,3:57:18
6330,5372,6330,MR1,A8976,Japan,5:46:27,5:43:28,1:17:48,2:39:01,3:49:18
6331,959,6331,MR1,A3428,China,5:46:29,5:45:58,1:11:31,2:31:09,3:44:09
6332,960,6332,MR1,A6895,China,5:46:30,5:45:57,1:11:31,2:31:09,3:44:09
6333,5373,6333,MR1,A5943,China,5:46:30,5:44:02,1:19:19,2:50:11,4:02:13
6334,5374,6334,MR1,A9076,China,5:46:31,5:41:40,1:17:41,2:35:23,3:44:11
6335,961,6335,MR1,A0937,Hong Kong SAR,5:46:34,5:40:46,1:20:02,2:43:14,3:58:11
6336,5375,6336,MR1,A7139,Hong Kong SAR,5:46:34,5:42:47,1:19:30,2:45:21,4:04:39
6337,5376,6337,MR1,A6777,Hong Kong SAR,5:46:35,5:41:11,1:18:20,2:37:16,3:48:45
6338,5377,6338,MR1,A0702,Hong Kong SAR,5:46:37,5:43:55,1:21:00,2:46:40,3:59:27
6339,5378,6339,MR1,A2046,Hong Kong SAR,5:46:41,5:32:05,1:31:42,2:57:27,4:03:32
6340,962,6340,MR1,A4299,Hong Kong SAR,5:46:42,5:40:21,1:20:21,2:45:26,3:58:33
6341,5379,6341,MR1,A2776,Hong Kong SAR,5:46:43,5:46:14,1:14:35,2:38:17,3:57:02
6342,5380,6342,MR1,A4169,Hong Kong SAR,5:46:43,5:41:34,1:11:17,2:24:44,3:39:51
6343,5381,6343,MR1,A7111,Hong Kong SAR,5:46:43,5:39:13,1:22:32,2:41:23,3:51:00
6344,5382,6344,MR1,A4669,Hong Kong SAR,5:46:46,5:46:04,1:02:39,2:18:06,3:36:33
6345,5383,6345,MR1,A2615,Hong Kong SAR,5:46:47,5:40:46,1:20:29,2:42:18,4:00:30
6346,5384,6346,MR1,A2295,Malaysia,5:46:47,5:42:09,1:19:53,2:43:14,3:54:29
6347,5385,6347,MR1,A2603,China,5:46:47,5:44:57,1:16:45,2:58:18,4:11:23
6348,5386,6348,MR1,A1718,Hong Kong SAR,5:46:48,5:40:46,,2:32:30,3:43:07
6349,5387,6349,MR1,A1565,Hong Kong SAR,5:46:48,5:40:47,,2:32:31,3:43:07
6350,5388,6350,MR1,A6101,Hong Kong SAR,5:46:48,5:42:40,1:19:50,2:45:15,4:00:35
6351,5389,6351,MR1,A3410,Hong Kong SAR,5:46:50,5:41:29,1:20:53,2:43:33,4:00:17
6352,5390,6352,MR1,A4772,Hong Kong SAR,5:46:50,5:45:22,1:09:34,2:29:30,3:47:47
6353,963,6353,MR1,A1945,Hong Kong SAR,5:46:50,5:44:23,1:15:02,2:38:46,3:52:20
6354,5391,6354,MR1,A3594,China,5:46:53,5:44:04,1:19:14,2:31:20,3:36:11
6355,5392,6355,MR1,A2664,China,5:46:54,5:44:05,1:19:14,2:31:20,3:36:25
6356,5393,6356,MR1,A6088,Hong Kong SAR,5:46:55,5:41:32,1:10:25,2:24:44,3:42:01
6357,5394,6357,MR1,A0204,Malaysia,5:46:55,5:46:52,1:09:16,2:35:55,3:53:18
6358,964,6358,MR1,A6846,Hong Kong SAR,5:46:56,5:41:05,1:20:32,2:45:01,4:00:33
6359,5395,6359,MR1,A4616,Hong Kong SAR,5:46:56,5:42:25,1:18:40,2:44:04,4:00:10
6360,5396,6360,MR1,A6681,Hong Kong SAR,5:46:56,5:41:19,1:20:16,2:42:31,3:55:10
6361,5397,6361,MR1,A0898,Hong Kong SAR,5:46:56,5:46:07,1:07:35,2:34:08,3:57:05
6362,5398,6362,MR1,A8653,Japan,5:46:57,5:42:42,1:19:53,2:39:47,3:54:55
6363,5399,6363,MR1,A2301,Hong Kong SAR,5:46:58,5:42:42,1:18:40,2:43:01,3:51:53
6364,5400,6364,MR1,A1086,Hong Kong SAR,5:46:58,5:44:33,1:13:23,2:33:39,3:50:40
6365,5401,6365,MR1,A4487,Hong Kong SAR,5:46:58,5:42:18,1:21:50,2:45:25,3:55:31
6366,965,6366,MR1,A2978,Japan,5:46:59,5:44:29,1:05:28,2:28:43,3:50:13
6367,5402,6367,MR1,A7958,Hong Kong SAR,5:46:59,5:40:46,1:21:34,2:47:41,4:04:04
6368,5403,6368,MR1,A3114,China,5:47:00,5:43:57,1:13:15,2:32:02,3:48:36
6369,5404,6369,MR1,A5645,Hong Kong SAR,5:47:00,5:41:05,1:22:37,2:44:19,3:55:57
6370,5405,6370,MR1,A8442,China,5:47:01,5:41:50,1:17:47,2:35:03,3:49:38
6371,5406,6371,MR1,A7284,Hong Kong SAR,5:47:02,5:43:03,1:18:57,2:43:07,3:56:18
6372,5407,6372,MR1,A4523,China,5:47:02,5:43:50,1:15:06,2:35:58,3:50:51
6373,5408,6373,MR1,A2158,Hong Kong SAR,5:47:03,5:42:23,1:13:58,2:33:11,3:52:59
6374,5409,6374,MR1,A4815,Hong Kong SAR,5:47:06,5:43:12,1:13:09,2:36:45,3:55:00
6375,966,6375,MR1,A6083,Hong Kong SAR,5:47:06,5:45:29,1:14:25,2:40:29,3:58:49
6376,5410,6376,MR1,A9020,China,5:47:06,5:44:32,1:16:29,2:37:31,3:53:00
6377,5411,6377,MR1,A5113,Hong Kong SAR,5:47:07,5:41:16,1:18:11,2:42:20,3:56:32
6378,5412,6378,MR1,A3221,Hong Kong SAR,5:47:10,5:43:51,1:16:41,2:41:38,3:54:23
6379,967,6379,MR1,A6544,Hong Kong SAR,5:47:10,5:43:51,1:17:50,2:42:50,3:57:55
6380,5413,6380,MR1,A4560,Hong Kong SAR,5:47:10,5:44:38,1:08:43,2:27:54,3:41:28
6381,968,6381,MR1,A4483,China,5:47:10,5:44:01,1:21:38,2:45:56,3:59:15
6382,5414,6382,MR1,A5817,Hong Kong SAR,5:47:10,5:45:20,1:13:27,2:33:17,3:44:25
6383,969,6383,MR1,A8009,Hong Kong SAR,5:47:12,5:40:00,1:31:26,3:00:09,4:07:49
6384,5415,6384,MR1,A3438,Hong Kong SAR,5:47:15,5:42:16,1:17:39,2:44:01,3:59:43
6385,5416,6385,MR1,A8378,Hong Kong SAR,5:47:16,5:41:58,1:20:58,2:43:01,3:56:46
6386,5417,6386,MR1,A6337,Hong Kong SAR,5:47:17,5:40:10,1:20:39,2:43:17,3:56:58
6387,5418,6387,MR1,A4462,Hong Kong SAR,5:47:17,5:43:07,1:15:35,2:31:47,3:40:49
6388,5419,6388,MR1,A2132,Hong Kong SAR,5:47:18,5:43:06,1:18:07,2:40:06,3:55:02
6389,5420,6389,MR1,A3180,Hong Kong SAR,5:47:20,5:44:36,1:20:27,2:44:24,3:54:26
6390,5421,6390,MR1,A8297,Hong Kong SAR,5:47:20,5:44:09,1:11:31,2:28:58,3:37:45
6391,5422,6391,MR1,A1423,China,5:47:21,5:45:59,,2:27:53,3:45:28
6392,970,6392,MR1,A3317,Philippines,5:47:23,5:44:52,1:21:17,2:48:54,4:02:14
6393,5423,6393,MR1,A2845,Hong Kong SAR,5:47:24,5:44:18,1:11:02,2:29:37,3:46:10
6394,971,6394,MR1,A5474,China,5:47:27,5:44:16,1:16:02,2:37:12,3:59:53
6395,5424,6395,MR1,A0930,Hong Kong SAR,5:47:28,5:43:57,1:19:48,2:43:23,3:55:44
6396,5425,6396,MR1,A5826,China,5:47:28,5:44:16,1:16:02,2:37:10,3:59:53
6397,972,6397,MR1,A3056,Hong Kong SAR,5:47:29,5:46:27,1:18:39,2:40:54,3:52:28
6398,973,6398,MR1,A6957,Hong Kong SAR,5:47:32,5:45:57,1:20:15,2:47:20,4:02:37
6399,5426,6399,MR1,A9056,China,5:47:32,5:43:55,1:24:57,2:39:04,3:55:13
6400,5427,6400,MR1,A5294,Hong Kong SAR,5:47:32,5:45:06,1:15:12,2:36:15,3:55:08
6401,5428,6401,MR1,A3137,Hong Kong SAR,5:47:34,5:41:11,1:21:06,2:35:56,3:48:52
6402,974,6402,MR1,A5583,Malaysia,5:47:38,5:44:55,1:20:12,2:51:42,4:08:03
6403,5429,6403,MR1,A0074,Hong Kong SAR,5:47:38,5:46:40,1:18:07,2:45:37,4:02:50
6404,5430,6404,MR1,A3578,Taiwan,5:47:39,5:47:20,1:16:37,2:42:34,4:02:21
6405,975,6405,MR1,A1461,Hong Kong SAR,5:47:40,5:45:27,1:19:34,2:47:28,3:59:27
6406,5431,6406,MR1,A0326,Hong Kong SAR,5:47:40,5:41:22,1:20:54,2:41:20,3:57:16
6407,5432,6407,MR1,A9196,China,5:47:41,5:44:10,1:14:46,2:33:21,3:58:03
6408,5433,6408,MR1,A5713,Hong Kong SAR,5:47:42,5:44:10,1:17:04,2:42:51,4:01:03
6409,976,6409,MR1,A8302,China,5:47:44,5:47:43,1:07:45,2:38:04,3:53:24
6410,5434,6410,MR1,A3825,Hong Kong SAR,5:47:44,5:41:50,1:17:10,2:30:48,3:49:15
6411,5435,6411,MR1,A1275,Hong Kong SAR,5:47:45,5:41:42,1:26:39,2:49:57,4:01:05
6412,5436,6412,MR1,A6143,Hong Kong SAR,5:47:45,5:43:36,1:17:36,2:39:09,3:57:07
6413,5437,6413,MR1,A4582,Hong Kong SAR,5:47:45,5:43:35,1:17:37,2:39:10,3:57:08
6414,5438,6414,MR1,A5601,China,5:47:45,5:46:42,1:06:43,2:29:18,3:51:50
6415,5439,6415,MR1,A3012,China,5:47:47,5:42:08,1:17:05,2:36:35,3:51:29
6416,5440,6416,MR1,A4426,China,5:47:47,5:42:08,1:17:05,2:36:35,3:51:24
6417,5441,6417,MR1,A6535,Hong Kong SAR,5:47:48,5:43:09,1:16:31,2:39:51,4:06:25
6418,5442,6418,MR1,A4030,Hong Kong SAR,5:47:51,5:47:00,1:11:43,2:38:20,3:54:54
6419,5443,6419,MR1,A4631,Hong Kong SAR,5:47:52,5:44:29,1:26:59,2:54:47,4:06:53
6420,977,6420,MR1,A0973,Hong Kong SAR,5:47:53,5:46:12,1:14:31,2:40:23,3:57:46
6421,5444,6421,MR1,A0894,Hong Kong SAR,5:47:55,5:47:08,1:06:45,2:23:11,3:38:53
6422,5445,6422,MR1,A9091,China,5:47:56,5:43:08,1:21:53,2:46:47,4:02:46
6423,5446,6423,MR1,A5045,Japan,5:47:57,5:45:43,1:06:11,2:30:47,3:48:04
6424,5447,6424,MR1,A1838,Hong Kong SAR,5:48:00,5:44:39,1:09:05,2:20:01,3:31:51
6425,978,6425,MR1,A8308,Hong Kong SAR,5:48:00,5:41:13,1:22:00,2:49:53,4:05:20
6426,5448,6426,MR1,A5981,Singapore,5:48:00,5:45:57,1:10:37,2:38:20,3:54:44
6427,5449,6427,MR1,A3328,India,5:48:04,5:47:45,1:12:58,2:38:13,3:54:04
6428,979,6428,MR1,A7021,Singapore,5:48:05,5:42:57,1:17:15,2:42:56,3:56:40
6429,5450,6429,MR1,A7695,Hong Kong SAR,5:48:06,5:45:21,1:13:08,2:46:53,4:00:33
6430,5451,6430,MR1,A6393,Hong Kong SAR,5:48:09,5:47:56,1:05:53,2:26:21,3:46:51
6431,5452,6431,MR1,A5815,Hong Kong SAR,5:48:09,5:44:41,1:19:06,2:42:24,3:56:43
6432,5453,6432,MR1,A6064,Hong Kong SAR,5:48:10,5:44:33,1:20:10,2:43:59,3:59:05
6433,980,6433,MR1,A0244,Hong Kong SAR,5:48:11,5:44:55,1:20:46,2:42:57,3:57:01
6434,5454,6434,MR1,A3602,Singapore,5:48:12,5:46:27,1:19:15,2:46:50,3:59:55
6435,5455,6435,MR1,A5553,Hong Kong SAR,5:48:14,5:42:12,1:18:26,2:41:05,3:55:15
6436,5456,6436,MR1,A9186,China,5:48:15,5:44:57,1:17:12,2:47:37,4:02:50
6437,5457,6437,MR1,A8917,Japan,5:48:19,5:43:46,1:15:36,2:36:13,3:52:24
6438,5458,6438,MR1,A8345,Hong Kong SAR,5:48:22,5:47:30,1:19:01,2:45:24,3:55:31
6439,5459,6439,MR1,A2153,Hong Kong SAR,5:48:23,5:43:43,1:25:23,2:48:48,3:59:33
6440,5460,6440,MR1,A7713,Indonesia,5:48:23,5:47:15,1:08:31,2:28:50,3:52:04
6441,5461,6441,MR1,A1647,Hong Kong SAR,5:48:23,5:43:57,1:20:07,2:39:40,3:54:59
6442,5462,6442,MR1,A0939,Hong Kong SAR,5:48:24,5:39:19,1:18:54,2:42:36,3:59:19
6443,5463,6443,MR1,A4324,China,5:48:24,5:43:18,1:25:00,2:51:44,4:05:39
6444,981,6444,MR1,A5642,Hong Kong SAR,5:48:25,5:42:54,1:21:15,2:45:28,3:59:53
6445,982,6445,MR1,A3217,Hong Kong SAR,5:48:26,5:45:52,1:14:04,2:36:53,3:49:33
6446,5464,6446,MR1,A2054,Hong Kong SAR,5:48:27,5:46:38,1:16:00,2:42:34,3:58:49
6447,5465,6447,MR1,A8538,China,5:48:28,5:48:19,1:03:47,2:26:00,3:53:50
6448,983,6448,MR1,A7831,China,5:48:28,5:46:04,1:14:34,2:43:42,4:00:21
6449,5466,6449,MR1,A7930,Hong Kong SAR,5:48:31,5:42:58,1:20:18,2:46:30,4:01:41
6450,5467,6450,MR1,A6562,Hong Kong SAR,5:48:34,5:47:45,1:08:19,2:27:58,3:42:57
6451,984,6451,MR1,A5670,China,5:48:35,5:47:52,1:10:52,2:32:04,3:48:13
6452,5468,6452,MR1,A7621,Hong Kong SAR,5:48:38,5:42:44,1:21:32,2:41:22,3:52:42
6453,985,6453,MR1,A1167,Hong Kong SAR,5:48:38,5:44:05,1:20:06,2:51:36,4:04:35
6454,5469,6454,MR1,A6410,Hong Kong SAR,5:48:39,5:43:07,1:20:16,2:41:20,3:50:14
6455,5470,6455,MR1,A6320,Hong Kong SAR,5:48:39,5:47:52,1:15:56,2:44:06,3:54:47
6456,5471,6456,MR1,A0417,Hong Kong SAR,5:48:39,5:47:41,1:07:21,2:29:51,3:48:43
6457,5472,6457,MR1,A1197,Hong Kong SAR,5:48:41,5:45:13,1:13:14,2:37:37,3:54:47
6458,5473,6458,MR1,A0741,Hong Kong SAR,5:48:41,5:46:31,1:15:45,2:38:21,3:52:37
6459,986,6459,MR1,A1439,Hong Kong SAR,5:48:41,5:44:58,1:18:53,2:46:01,4:03:23
6460,5474,6460,MR1,A4177,Hong Kong SAR,5:48:42,5:44:18,1:17:55,2:41:25,4:04:09
6461,987,6461,MR1,A7204,China,5:48:42,5:46:30,1:14:50,2:39:46,3:51:50
6462,988,6462,MR1,A5314,China,5:48:43,5:44:11,1:22:11,2:43:05,4:00:18
6463,5475,6463,MR1,A0671,Hong Kong SAR,5:48:44,5:46:50,1:15:11,2:35:47,3:45:54
6464,5476,6464,MR1,A2066,Hong Kong SAR,5:48:44,5:45:51,1:13:40,2:41:39,4:03:14
6465,5477,6465,MR1,A0193,Hong Kong SAR,5:48:44,5:45:28,1:15:18,2:33:31,3:50:53
6466,5478,6466,MR1,A0175,Hong Kong SAR,5:48:44,5:43:50,1:11:18,2:23:10,3:51:15
6467,5479,6467,MR1,A7920,China,5:48:44,5:42:59,1:23:05,2:49:44,4:03:32
6468,5480,6468,MR1,A0862,Hong Kong SAR,5:48:45,5:43:11,1:24:08,2:43:15,3:56:08
6469,5481,6469,MR1,A2193,Hong Kong SAR,5:48:45,5:46:51,1:13:26,2:39:19,4:02:22
6470,989,6470,MR1,A0208,Hong Kong SAR,5:48:46,5:43:39,1:19:13,2:40:59,3:57:15
6471,5482,6471,MR1,A6917,Hong Kong SAR,5:48:46,5:48:13,1:13:21,2:42:13,4:00:04
6472,5483,6472,MR1,A7650,Hong Kong SAR,5:48:47,5:43:26,1:11:43,2:24:46,3:54:51
6473,5484,6473,MR1,A0384,Hong Kong SAR,5:48:47,5:46:37,1:13:56,2:35:22,3:52:55
6474,990,6474,MR1,A7362,China,5:48:49,5:43:31,1:29:02,2:49:22,3:58:02
6475,991,6475,MR1,A1350,China,5:48:51,5:44:55,1:25:44,2:48:49,4:02:53
6476,5485,6476,MR1,A5180,Hong Kong SAR,5:48:53,5:43:01,1:22:40,2:48:57,4:00:54
6477,5486,6477,MR1,A3323,Hong Kong SAR,5:48:54,5:45:18,1:20:58,2:46:25,3:58:58
6478,5487,6478,MR1,A3008,Hong Kong SAR,5:48:55,5:46:01,1:16:32,2:39:58,3:56:32
6479,5488,6479,MR1,A4795,Hong Kong SAR,5:48:57,5:47:30,1:13:48,2:40:37,4:01:09
6480,5489,6480,MR1,A3759,Hong Kong SAR,5:48:57,5:44:19,1:12:01,2:28:02,3:45:52
6481,5490,6481,MR1,A2348,Taiwan,5:48:57,5:47:44,1:11:46,2:40:25,3:53:58
6482,5491,6482,MR1,A5070,Hong Kong SAR,5:48:58,5:45:38,1:21:54,2:47:06,4:05:47
6483,5492,6483,MR1,A5405,Hong Kong SAR,5:49:01,5:47:15,1:10:20,2:28:45,3:46:32
6484,5493,6484,MR1,A1715,Hong Kong SAR,5:49:02,5:46:34,1:00:44,2:09:14,3:16:18
6485,5494,6485,MR1,A8827,Japan,5:49:03,5:45:03,1:15:43,2:36:33,3:48:29
6486,5495,6486,MR1,A3678,Hong Kong SAR,5:49:04,5:47:46,1:19:02,2:42:35,3:55:19
6487,5496,6487,MR1,A5515,Hong Kong SAR,5:49:06,5:43:28,1:21:59,2:43:16,4:00:20
6488,5497,6488,MR1,A4174,Hong Kong SAR,5:49:06,5:45:53,1:12:31,2:39:51,3:58:48
6489,5498,6489,MR1,A3435,China,5:49:08,5:48:53,1:29:18,2:51:31,4:05:59
6490,5499,6490,MR1,A8120,Hong Kong SAR,5:49:08,5:44:11,1:19:50,2:41:14,3:54:25
6491,5500,6491,MR1,A8468,China,5:49:14,5:44:16,1:19:47,2:45:30,3:58:25
6492,5501,6492,MR1,A0900,Hong Kong SAR,5:49:14,5:45:44,1:17:12,2:43:01,3:58:07
6493,992,6493,MR1,A2897,China,5:49:15,5:48:21,1:14:29,2:47:54,4:01:10
6494,5502,6494,MR1,A6986,Hong Kong SAR,5:49:16,5:48:37,1:13:14,2:35:29,3:55:15
6495,5503,6495,MR1,A5231,Hong Kong SAR,5:49:16,5:46:25,1:13:39,2:34:29,3:57:23
6496,5504,6496,MR1,A1758,Hong Kong SAR,5:49:16,5:48:03,1:12:37,2:41:47,3:59:56
6497,5505,6497,MR1,A0557,Hong Kong SAR,5:49:17,5:47:00,1:21:46,2:50:00,3:58:13
6498,5506,6498,MR1,A5420,Malaysia,5:49:20,5:47:47,1:13:01,2:35:15,3:57:21
6499,993,6499,MR1,A1605,Hong Kong SAR,5:49:20,5:47:32,1:16:00,2:44:09,4:00:14
6500,994,6500,MR1,A7703,Hong Kong SAR,5:49:21,5:49:09,1:10:22,2:34:39,3:52:51
6501,5507,6501,MR1,A3109,Hong Kong SAR,5:49:21,5:43:10,1:17:07,2:32:34,3:52:35
6502,995,6502,MR1,A0262,China,5:49:23,5:46:47,1:13:09,2:33:00,3:56:11
6503,5508,6503,MR1,A2852,China,5:49:23,5:46:49,1:13:09,2:33:15,3:57:56
6504,5509,6504,MR1,A2696,Hong Kong SAR,5:49:27,5:47:39,1:09:06,2:36:20,3:53:06
6505,5510,6505,MR1,A6008,Hong Kong SAR,5:49:28,5:48:20,1:01:49,2:18:32,3:45:15
6506,5511,6506,MR1,A4094,Hong Kong SAR,5:49:29,5:46:09,1:17:36,2:43:08,4:00:01
6507,5512,6507,MR1,A1298,Japan,5:49:31,5:47:55,1:12:19,2:42:57,3:56:48
6508,5513,6508,MR1,A4128,Hong Kong SAR,5:49:32,5:46:00,1:22:46,2:41:50,3:55:58
6509,5514,6509,MR1,A0608,Hong Kong SAR,5:49:32,5:47:50,1:17:05,2:33:22,3:45:31
6510,5515,6510,MR1,A3038,Hong Kong SAR,5:49:33,5:45:48,1:18:16,2:37:52,3:54:45
6511,996,6511,MR1,A3645,Hong Kong SAR,5:49:34,5:45:27,1:14:08,2:34:31,3:52:13
6512,5516,6512,MR1,A3981,Hong Kong SAR,5:49:35,5:43:55,1:19:28,2:42:04,4:02:24
6513,997,6513,MR1,A2608,Hong Kong SAR,5:49:36,5:43:56,1:19:28,2:42:05,4:02:24
6514,5517,6514,MR1,A6739,Hong Kong SAR,5:49:38,5:44:53,1:14:11,2:32:20,3:54:37
6515,5518,6515,MR1,A1504,China,5:49:40,5:49:21,1:12:21,2:35:53,3:54:30
6516,5519,6516,MR1,A6962,China,5:49:40,5:46:06,1:21:38,2:45:56,3:59:20
6517,5520,6517,MR1,A2509,Hong Kong SAR,5:49:41,5:43:46,1:18:36,2:39:13,3:55:50
6518,5521,6518,MR1,A6583,Hong Kong SAR,5:49:42,5:44:19,1:20:41,2:40:38,3:52:42
6519,998,6519,MR1,A1028,Hong Kong SAR,5:49:42,5:46:22,1:29:05,2:56:42,4:10:48
6520,5522,6520,MR1,A2190,China,5:49:44,5:44:08,1:13:10,2:24:12,3:51:14
6521,5523,6521,MR1,A6773,Hong Kong SAR,5:49:46,5:45:10,1:27:10,2:49:27,4:05:22
6522,5524,6522,MR1,A2050,Hong Kong SAR,5:49:48,5:43:38,1:20:49,2:43:15,4:02:29
6523,5525,6523,MR1,A8053,Hong Kong SAR,5:49:49,5:45:29,1:19:25,2:47:18,4:00:31
6524,5526,6524,MR1,A3672,Hong Kong SAR,5:49:50,5:43:13,1:18:52,2:46:01,4:05:30
6525,5527,6525,MR1,A3925,Hong Kong SAR,5:49:50,5:49:28,1:12:47,2:39:51,3:59:42
6526,5528,6526,MR1,A4946,Hong Kong SAR,5:49:53,5:47:33,1:20:42,2:48:09,4:05:55
6527,5529,6527,MR1,A2885,Hong Kong SAR,5:49:56,5:44:35,1:19:43,2:43:26,3:57:07
6528,5530,6528,MR1,A7034,Hong Kong SAR,5:49:56,5:44:19,1:22:01,2:43:38,4:01:22
6529,5531,6529,MR1,A6437,Hong Kong SAR,5:49:58,5:43:21,1:18:52,2:46:01,4:05:30
6530,5532,6530,MR1,A8794,China,5:50:01,5:46:36,1:14:15,2:33:44,3:45:37
6531,5533,6531,MR1,A3696,Hong Kong SAR,5:50:01,5:47:13,1:20:18,2:46:27,3:58:35
6532,5534,6532,MR1,A1741,Hong Kong SAR,5:50:02,5:48:39,1:12:00,2:33:56,3:51:10
6533,5535,6533,MR1,A2906,Hong Kong SAR,5:50:02,5:49:40,1:17:29,2:43:54,3:57:13
6534,5536,6534,MR1,A7178,Hong Kong SAR,5:50:03,5:44:36,,2:49:38,4:06:46
6535,5537,6535,MR1,A9010,Hong Kong SAR,5:50:04,5:45:27,1:23:35,2:46:14,4:01:20
6536,5538,6536,MR1,A0747,Hong Kong SAR,5:50:04,5:45:27,1:23:34,2:46:13,4:01:18
6537,5539,6537,MR1,A9013,China,5:50:07,5:46:29,1:24:58,2:39:04,3:57:28
